problem,prompt_name,code_index,code_segment,Size,Min,Average,Max,Exception
p3_find_n_smallest_number,prompt_1,1,"['import heapq\n\ndef funcImp(arg1, arg2):\n    if arg2 <= 0 or arg2 > len(arg1):\n        return []\n    k_smallest = heapq.nsmallest(arg2, enumerate(arg1), key=lambda x: x[1])\n    indexes = [element[0] for element in k_smallest]\n    return indexes']",1000,0.004621900035999715,0.00481607300171163,0.006284500006586313,N/A
p3_find_n_smallest_number,prompt_1,1,"['import heapq\n\ndef funcImp(arg1, arg2):\n    if arg2 <= 0 or arg2 > len(arg1):\n        return []\n    k_smallest = heapq.nsmallest(arg2, enumerate(arg1), key=lambda x: x[1])\n    indexes = [element[0] for element in k_smallest]\n    return indexes']",10000,0.04209270002320409,0.04472641599946656,0.0582243999815546,N/A
p3_find_n_smallest_number,prompt_1,1,"['import heapq\n\ndef funcImp(arg1, arg2):\n    if arg2 <= 0 or arg2 > len(arg1):\n        return []\n    k_smallest = heapq.nsmallest(arg2, enumerate(arg1), key=lambda x: x[1])\n    indexes = [element[0] for element in k_smallest]\n    return indexes']",100000,0.446520600002259,0.4759035699989181,0.5472751000197604,N/A
p3_find_n_smallest_number,prompt_1,2,"['def funcImp(arg1, arg2):\n    indexed_array = list(enumerate(arg1))\n    indexed_array.sort(key=lambda x: x[1])\n    k_smallest_indexes = [indexed_array[i][0] for i in range(arg2)]\n    return k_smallest_indexes']",1000,0.008744199993088841,0.009291914998320862,0.011698299960698932,N/A
p3_find_n_smallest_number,prompt_1,2,"['def funcImp(arg1, arg2):\n    indexed_array = list(enumerate(arg1))\n    indexed_array.sort(key=lambda x: x[1])\n    k_smallest_indexes = [indexed_array[i][0] for i in range(arg2)]\n    return k_smallest_indexes']",10000,0.13419860001886263,0.14607272899418602,0.15777809999417514,N/A
p3_find_n_smallest_number,prompt_1,2,"['def funcImp(arg1, arg2):\n    indexed_array = list(enumerate(arg1))\n    indexed_array.sort(key=lambda x: x[1])\n    k_smallest_indexes = [indexed_array[i][0] for i in range(arg2)]\n    return k_smallest_indexes']",100000,2.11568410001928,2.2461022169998612,2.37776770000346,N/A
p3_find_n_smallest_number,prompt_1,3,"['import heapq\n\ndef funcImp(arg1, arg2):\n    k = min(arg2, len(arg1))\n    if k == 0:\n        return []\n    smallest_elements = heapq.nsmallest(k, arg1)\n    indices = []\n    for element in smallest_elements:\n        index = arg1.index(element)\n        while index in indices:\n            index = arg1.index(element, index + 1)\n        indices.append(index)\n    return indices']",1000,0.0021180000039748847,0.002225299999699928,0.002871899981983006,N/A
p3_find_n_smallest_number,prompt_1,3,"['import heapq\n\ndef funcImp(arg1, arg2):\n    k = min(arg2, len(arg1))\n    if k == 0:\n        return []\n    smallest_elements = heapq.nsmallest(k, arg1)\n    indices = []\n    for element in smallest_elements:\n        index = arg1.index(element)\n        while index in indices:\n            index = arg1.index(element, index + 1)\n        indices.append(index)\n    return indices']",10000,0.016793299990240484,0.01798632799705956,0.030992899963166565,N/A
p3_find_n_smallest_number,prompt_1,3,"['import heapq\n\ndef funcImp(arg1, arg2):\n    k = min(arg2, len(arg1))\n    if k == 0:\n        return []\n    smallest_elements = heapq.nsmallest(k, arg1)\n    indices = []\n    for element in smallest_elements:\n        index = arg1.index(element)\n        while index in indices:\n            index = arg1.index(element, index + 1)\n        indices.append(index)\n    return indices']",100000,0.16291320003801957,0.17075196400284767,0.19197990000247955,N/A
p3_find_n_smallest_number,prompt_1,4,"['def funcImp(arg1, arg2):\n    k = min(arg2, len(arg1))\n    sorted_indices = sorted(range(len(arg1)), key=lambda x: arg1[x])\n    return sorted_indices[:k]\narray = [5, 12, 11, -1, 12, 15, -3]\nk = 3\npass']",1000,0.007532100018579513,0.008008340003434568,0.009368699975311756,N/A
