Size,prompt_name,prompt,Function,Min,Average,Max,Minimum Average,Percentage
1000,prompt_human,"""Quickest way to find missing number in an array of numbers.""",p1_find_missing_number,0.0028971,0.003000504,0.0032384,,
10000,prompt_human,"""Quickest way to find missing number in an array of numbers.""",p1_find_missing_number,0.0288276,0.030248645,0.033454,,
100000,prompt_human,"""Quickest way to find missing number in an array of numbers.""",p1_find_missing_number,0.3758017,0.388259009,0.4038037,,
1000,prompt_1,p1_find_missing_number,p1_find_missing_number,6.50E-06,0.001699639,0.0850482,,
10000,prompt_1,p1_find_missing_number,p1_find_missing_number,6.60E-06,0.013364598,0.750229,,
100000,prompt_1,p1_find_missing_number,p1_find_missing_number,6.70E-06,0.136041636,0.9748135,,
1000,prompt_2,p1_find_missing_number,p1_find_missing_number,0.0002114,0.000720899,0.0060533,,
10000,prompt_2,p1_find_missing_number,p1_find_missing_number,0.0019571,0.007409255,0.0643934,,
100000,prompt_2,p1_find_missing_number,p1_find_missing_number,0.0640471,0.160153932,2.3259033,,
1000,prompt_3,p1_find_missing_number,p1_find_missing_number,0.0002116,0.00086645,0.0065882,,
10000,prompt_3,p1_find_missing_number,p1_find_missing_number,0.0019667,0.008488501,0.0617596,,
100000,prompt_3,p1_find_missing_number,p1_find_missing_number,0.0384976,0.157484854,1.168303,,
1000,prompt_4,p1_find_missing_number,p1_find_missing_number,6.50E-06,0.000654891,0.0058307,,
10000,prompt_4,p1_find_missing_number,p1_find_missing_number,6.80E-06,0.006347345,0.0543223,,
100000,prompt_4,p1_find_missing_number,p1_find_missing_number,6.70E-06,0.119399858,0.7886724,,
1000,prompt_5,p1_find_missing_number,p1_find_missing_number,4.38E-05,0.001345259,0.0776843,,
10000,prompt_5,p1_find_missing_number,p1_find_missing_number,6.07E-05,0.012903616,0.7320524,,
100000,prompt_5,p1_find_missing_number,p1_find_missing_number,7.46E-05,0.119450877,0.9093441,,
1000,prompt_6,p1_find_missing_number,p1_find_missing_number,0.0002119,0.000364751,0.0046513,,
10000,prompt_6,p1_find_missing_number,p1_find_missing_number,0.0019531,0.003496633,0.0422755,,
100000,prompt_6,p1_find_missing_number,p1_find_missing_number,0.04196,0.079610553,0.4005332,,
