Size,prompt_name,prompt,Function,Min,Average,Max,Minimum Average,Percentage
1000,prompt_human,"""Removing duplicates in lists""",p6_removing_duplicates_strategy,0.001105,0.001178892,0.0015958,0.001178892,0
10000,prompt_human,"""Removing duplicates in lists""",p6_removing_duplicates_strategy,0.0306974,0.032139507,0.0378839,0.032139507,0
100000,prompt_human,"""Removing duplicates in lists""",p6_removing_duplicates_strategy,0.55479919,0.58111297,0.6166734,0.58111297,0
1000,prompt_1,"""Removing duplicates in lists. The Python implementation should be in a function named ""funcImp"" that takes a single list of integers named ""arg1"" as a parameter..""",p6_removing_duplicates_strategy,0.0009286,0.005694645,0.1630359,0.001178892,383.0506102
10000,prompt_1,"""Removing duplicates in lists. The Python implementation should be in a function named ""funcImp"" that takes a single list of integers named ""arg1"" as a parameter..""",p6_removing_duplicates_strategy,0.0241397,18.03078904,600,0.032139507,56001.63541
100000,prompt_1,"""Removing duplicates in lists. The Python implementation should be in a function named ""funcImp"" that takes a single list of integers named ""arg1"" as a parameter..""",p6_removing_duplicates_strategy,0.5178163,18.54425896,600,0.58111297,3091.162462
1000,prompt_2,"""Removing duplicates in lists. The implementation should be fast. The Python implementation should be in a function named ""funcImp"" that takes a single list of integers named ""arg1"" as a parameter..""",p6_removing_duplicates_strategy,0.0009301,0.007178542,0.4749627,0.001178892,508.9227851
10000,prompt_2,"""Removing duplicates in lists. The implementation should be fast. The Python implementation should be in a function named ""funcImp"" that takes a single list of integers named ""arg1"" as a parameter..""",p6_removing_duplicates_strategy,0.0240353,12.03745114,600,0.032139507,37353.75167
100000,prompt_2,"""Removing duplicates in lists. The implementation should be fast. The Python implementation should be in a function named ""funcImp"" that takes a single list of integers named ""arg1"" as a parameter..""",p6_removing_duplicates_strategy,0.5153433,12.95920558,600,0.58111297,2130.066484
1000,prompt_3,"""Removing duplicates in lists. The implementation should be fast as the size of the list grows. The Python implementation should be in a function named ""funcImp"" that takes a single list of integers named ""arg1"" as a parameter..""",p6_removing_duplicates_strategy,0.0009289,0.003610751,0.0108011,0.001178892,206.2834424
10000,prompt_3,"""Removing duplicates in lists. The implementation should be fast as the size of the list grows. The Python implementation should be in a function named ""funcImp"" that takes a single list of integers named ""arg1"" as a parameter..""",p6_removing_duplicates_strategy,0.0278977,0.046546644,0.2993271,0.032139507,44.82687616
100000,prompt_3,"""Removing duplicates in lists. The implementation should be fast as the size of the list grows. The Python implementation should be in a function named ""funcImp"" that takes a single list of integers named ""arg1"" as a parameter..""",p6_removing_duplicates_strategy,0.5192149,1.37623692,3.2325355,0.58111297,136.8277755
1000,prompt_4,"""Removing duplicates in lists. The implementation should have the most optimal time complexity possible. The Python implementation should be in a function named ""funcImp"" that takes a single list of integers named ""arg1"" as a parameter..""",p6_removing_duplicates_strategy,1.60E-05,0.004673098,0.3311158,0.001178892,296.3974647
