problem,prompt_name,code_index,code_segment,Size,Min,Average,Max,Exception
p7_quicksort,prompt_1,1,"[""def funcImp(arg1):\n    if not all((isinstance(i, int) for i in arg1)):\n        raise ValueError('List items must be integers.')\n\n    def quicksort(arg1):\n        if len(arg1) <= 1:\n            return arg1\n        pivot = arg1[len(arg1) // 2]\n        left = [x for x in arg1 if x < pivot]\n        middle = [x for x in arg1 if x == pivot]\n        right = [x for x in arg1 if x > pivot]\n        return quicksort(left) + middle + quicksort(right)\n    arg1[:] = quicksort(arg1)""]",1000,0.0573259,0.061261389,0.0791622,N/A
p7_quicksort,prompt_1,1,"[""def funcImp(arg1):\n    if not all((isinstance(i, int) for i in arg1)):\n        raise ValueError('List items must be integers.')\n\n    def quicksort(arg1):\n        if len(arg1) <= 1:\n            return arg1\n        pivot = arg1[len(arg1) // 2]\n        left = [x for x in arg1 if x < pivot]\n        middle = [x for x in arg1 if x == pivot]\n        right = [x for x in arg1 if x > pivot]\n        return quicksort(left) + middle + quicksort(right)\n    arg1[:] = quicksort(arg1)""]",10000,0.7579379,0.783290551,0.9132669,N/A
p7_quicksort,prompt_1,1,"[""def funcImp(arg1):\n    if not all((isinstance(i, int) for i in arg1)):\n        raise ValueError('List items must be integers.')\n\n    def quicksort(arg1):\n        if len(arg1) <= 1:\n            return arg1\n        pivot = arg1[len(arg1) // 2]\n        left = [x for x in arg1 if x < pivot]\n        middle = [x for x in arg1 if x == pivot]\n        right = [x for x in arg1 if x > pivot]\n        return quicksort(left) + middle + quicksort(right)\n    arg1[:] = quicksort(arg1)""]",100000,600,600,600,"	 runtime.get_runtime terminated after 600 seconds"
p7_quicksort,prompt_1,2,['def funcImp(arg1):\n    if len(arg1) <= 1:\n        return arg1\n    pivot = arg1[len(arg1) // 2]\n    left = [x for x in arg1 if x < pivot]\n    middle = [x for x in arg1 if x == pivot]\n    right = [x for x in arg1 if x > pivot]\n    return funcImp(left) + middle + funcImp(right)'],1000,0.0916138,0.096824292,0.1255592,N/A
p7_quicksort,prompt_1,2,['def funcImp(arg1):\n    if len(arg1) <= 1:\n        return arg1\n    pivot = arg1[len(arg1) // 2]\n    left = [x for x in arg1 if x < pivot]\n    middle = [x for x in arg1 if x == pivot]\n    right = [x for x in arg1 if x > pivot]\n    return funcImp(left) + middle + funcImp(right)'],10000,1.1538748,1.190538475,1.2838595,N/A
p7_quicksort,prompt_1,2,['def funcImp(arg1):\n    if len(arg1) <= 1:\n        return arg1\n    pivot = arg1[len(arg1) // 2]\n    left = [x for x in arg1 if x < pivot]\n    middle = [x for x in arg1 if x == pivot]\n    right = [x for x in arg1 if x > pivot]\n    return funcImp(left) + middle + funcImp(right)'],100000,600,600,600,"	 runtime.get_runtime terminated after 600 seconds"
p7_quicksort,prompt_1,3,['def funcImp(arg1):\n    if len(arg1) <= 1:\n        return arg1\n    pivot = arg1[len(arg1) // 2]\n    left = [x for x in arg1 if x < pivot]\n    middle = [x for x in arg1 if x == pivot]\n    right = [x for x in arg1 if x > pivot]\n    return funcImp(left) + middle + funcImp(right)'],1000,0.092649,0.097659271,0.118349,N/A
p7_quicksort,prompt_1,3,['def funcImp(arg1):\n    if len(arg1) <= 1:\n        return arg1\n    pivot = arg1[len(arg1) // 2]\n    left = [x for x in arg1 if x < pivot]\n    middle = [x for x in arg1 if x == pivot]\n    right = [x for x in arg1 if x > pivot]\n    return funcImp(left) + middle + funcImp(right)'],10000,1.1365894,1.18409289,1.275398,N/A
p7_quicksort,prompt_1,3,['def funcImp(arg1):\n    if len(arg1) <= 1:\n        return arg1\n    pivot = arg1[len(arg1) // 2]\n    left = [x for x in arg1 if x < pivot]\n    middle = [x for x in arg1 if x == pivot]\n    right = [x for x in arg1 if x > pivot]\n    return funcImp(left) + middle + funcImp(right)'],100000,600,600,600,"	 runtime.get_runtime terminated after 600 seconds"
p7_quicksort,prompt_1,4,['from typing import List\n\ndef funcImp(arg1: List[int]) -> List[int]:\n    if len(arg1) <= 1:\n        return arg1\n    else:\n        pivot = arg1[0]\n        less_than_pivot = [i for i in arg1[1:] if i <= pivot]\n        greater_than_pivot = [i for i in arg1[1:] if i > pivot]\n        return funcImp(less_than_pivot) + [pivot] + funcImp(greater_than_pivot)'],1000,0.0739746,0.077473823,0.1081799,N/A
p7_quicksort,prompt_1,4,['from typing import List\n\ndef funcImp(arg1: List[int]) -> List[int]:\n    if len(arg1) <= 1:\n        return arg1\n    else:\n        pivot = arg1[0]\n        less_than_pivot = [i for i in arg1[1:] if i <= pivot]\n        greater_than_pivot = [i for i in arg1[1:] if i > pivot]\n        return funcImp(less_than_pivot) + [pivot] + funcImp(greater_than_pivot)'],10000,0.9506839,0.990634562,1.085801,N/A
p7_quicksort,prompt_1,4,['from typing import List\n\ndef funcImp(arg1: List[int]) -> List[int]:\n    if len(arg1) <= 1:\n        return arg1\n    else:\n        pivot = arg1[0]\n        less_than_pivot = [i for i in arg1[1:] if i <= pivot]\n        greater_than_pivot = [i for i in arg1[1:] if i > pivot]\n        return funcImp(less_than_pivot) + [pivot] + funcImp(greater_than_pivot)'],100000,600,600,600,"	 runtime.get_runtime terminated after 600 seconds"
p7_quicksort,prompt_1,5,['def funcImp(arg1):\n    if len(arg1) <= 1:\n        return arg1\n    else:\n        pivot = arg1[0]\n        lesser = [x for x in arg1[1:] if x <= pivot]\n        greater = [x for x in arg1[1:] if x > pivot]\n        return funcImp(lesser) + [pivot] + funcImp(greater)'],1000,0.0717613,0.075582458,0.1042364,N/A
p7_quicksort,prompt_1,5,['def funcImp(arg1):\n    if len(arg1) <= 1:\n        return arg1\n    else:\n        pivot = arg1[0]\n        lesser = [x for x in arg1[1:] if x <= pivot]\n        greater = [x for x in arg1[1:] if x > pivot]\n        return funcImp(lesser) + [pivot] + funcImp(greater)'],10000,0.9360045,0.96912394,1.0606428,N/A
p7_quicksort,prompt_1,5,['def funcImp(arg1):\n    if len(arg1) <= 1:\n        return arg1\n    else:\n        pivot = arg1[0]\n        lesser = [x for x in arg1[1:] if x <= pivot]\n        greater = [x for x in arg1[1:] if x > pivot]\n        return funcImp(lesser) + [pivot] + funcImp(greater)'],100000,600,600,600,"	 runtime.get_runtime terminated after 600 seconds"
p7_quicksort,prompt_1,6,['def funcImp(arg1):\n    if len(arg1) <= 1:\n        return arg1\n    pivot = arg1[len(arg1) // 2]\n    left = [x for x in arg1 if x < pivot]\n    middle = [x for x in arg1 if x == pivot]\n    right = [x for x in arg1 if x > pivot]\n    return funcImp(left) + middle + funcImp(right)'],1000,0.0908461,0.09386504,0.1092507,N/A
p7_quicksort,prompt_1,6,['def funcImp(arg1):\n    if len(arg1) <= 1:\n        return arg1\n    pivot = arg1[len(arg1) // 2]\n    left = [x for x in arg1 if x < pivot]\n    middle = [x for x in arg1 if x == pivot]\n    right = [x for x in arg1 if x > pivot]\n    return funcImp(left) + middle + funcImp(right)'],10000,1.1440826,1.168515885,1.224134,N/A
