Size,prompt_name,prompt,Function,Min,Average,Max,Minimum Average,Percentage
1000,prompt_human,"""Quicksort with Python""",p7_quicksort_strategy,0.0485779,0.052815345,0.0587745,0.052815345,0
10000,prompt_human,"""Quicksort with Python""",p7_quicksort_strategy,0.6562693,0.697526207,0.7713445,0.697526207,0
100000,prompt_human,"""Quicksort with Python""",p7_quicksort_strategy,40.2670163,44.47332175,104.7236946,44.47332175,0
1000,prompt_1,"""Quicksort with Python. The Python implementation should be in a function named ""funcImp"" that takes a single list of integers named ""arg1"" as a parameter..""",p7_quicksort_strategy,7.60E-06,0.060036497,0.1497553,0.052815345,13.67245069
10000,prompt_1,"""Quicksort with Python. The Python implementation should be in a function named ""funcImp"" that takes a single list of integers named ""arg1"" as a parameter..""",p7_quicksort_strategy,0.0012806,0.89517564,2.6013629,0.697526207,28.33577162
100000,prompt_1,"""Quicksort with Python. The Python implementation should be in a function named ""funcImp"" that takes a single list of integers named ""arg1"" as a parameter..""",p7_quicksort_strategy,600,600,600,44.47332175,1249.123421
1000,prompt_2,"""Quicksort with Python. The implementation should be fast. The Python implementation should be in a function named ""funcImp"" that takes a single list of integers named ""arg1"" as a parameter..""",p7_quicksort_strategy,0.0353709,0.063037676,0.1357953,0.052815345,19.35485038
10000,prompt_2,"""Quicksort with Python. The implementation should be fast. The Python implementation should be in a function named ""funcImp"" that takes a single list of integers named ""arg1"" as a parameter..""",p7_quicksort_strategy,0.4228122,0.845382578,3.5919855,0.697526207,21.19724958
100000,prompt_2,"""Quicksort with Python. The implementation should be fast. The Python implementation should be in a function named ""funcImp"" that takes a single list of integers named ""arg1"" as a parameter..""",p7_quicksort_strategy,5.3204947,586.639008,600,44.47332175,1219.080709
1000,prompt_3,"""Quicksort with Python. The implementation should be fast as the size of the list grows. The Python implementation should be in a function named ""funcImp"" that takes a single list of integers named ""arg1"" as a parameter..""",p7_quicksort_strategy,7.90E-06,0.065919435,0.1876669,0.052815345,24.81114153
