Size,prompt_name,prompt,Function,Min,Average,Max,Minimum Average,Percentage
1000,prompt_human,"""Count pairs of elements in an array whose sum equals a given sum (but) do it in a single iteration(!)""",p4_count_pairs_with_given_sum,0.013736,0.0144197,0.0153683,0.005821239,147.7084346
10000,prompt_human,"""Count pairs of elements in an array whose sum equals a given sum (but) do it in a single iteration(!)""",p4_count_pairs_with_given_sum,0.1516778,0.161852917,0.1876067,0.066308708,144.0899874
100000,prompt_human,"""Count pairs of elements in an array whose sum equals a given sum (but) do it in a single iteration(!)""",p4_count_pairs_with_given_sum,2.3430463,2.447732568,2.5637543,1.050633746,132.9767702
1000,prompt_1,"""Count pairs of elements in an array whose sum equals a given sum (but) do it in a single iteration(!) The Python implementation should be in a function named ""funcImp"" that takes a single list of integers named ""arg1"" as a first argument and ""arg2"" as a second argument as a parameters..""",p4_count_pairs_with_given_sum,0.0040149,0.005901276,0.0170374,0.005821239,1.374913485
10000,prompt_1,"""Count pairs of elements in an array whose sum equals a given sum (but) do it in a single iteration(!) The Python implementation should be in a function named ""funcImp"" that takes a single list of integers named ""arg1"" as a first argument and ""arg2"" as a second argument as a parameters..""",p4_count_pairs_with_given_sum,0.0529004,0.06706611,0.1285457,0.066308708,1.1422361
100000,prompt_1,"""Count pairs of elements in an array whose sum equals a given sum (but) do it in a single iteration(!) The Python implementation should be in a function named ""funcImp"" that takes a single list of integers named ""arg1"" as a first argument and ""arg2"" as a second argument as a parameters..""",p4_count_pairs_with_given_sum,0.8484256,7.057482702,600,1.050633746,571.7357718
1000,prompt_2,"""Count pairs of elements in an array whose sum equals a given sum (but) do it in a single iteration(!) The implementation should be fast. The Python implementation should be in a function named ""funcImp"" that takes a single list of integers named ""arg1"" as a first argument and ""arg2"" as a second argument as a parameters..""",p4_count_pairs_with_given_sum,1.61E-05,0.005924593,0.0159281,0.005821239,1.775463952
10000,prompt_2,"""Count pairs of elements in an array whose sum equals a given sum (but) do it in a single iteration(!) The implementation should be fast. The Python implementation should be in a function named ""funcImp"" that takes a single list of integers named ""arg1"" as a first argument and ""arg2"" as a second argument as a parameters..""",p4_count_pairs_with_given_sum,1.62E-05,0.067188624,0.1416636,0.066308708,1.326999163
100000,prompt_2,"""Count pairs of elements in an array whose sum equals a given sum (but) do it in a single iteration(!) The implementation should be fast. The Python implementation should be in a function named ""funcImp"" that takes a single list of integers named ""arg1"" as a first argument and ""arg2"" as a second argument as a parameters..""",p4_count_pairs_with_given_sum,1.64E-05,1.064126105,1.782381,1.050633746,1.284211463
1000,prompt_3,"""Count pairs of elements in an array whose sum equals a given sum (but) do it in a single iteration(!) The implementation should be fast as the size of the list grows. The Python implementation should be in a function named ""funcImp"" that takes a single list of integers named ""arg1"" as a first argument and ""arg2"" as a second argument as a parameters..""",p4_count_pairs_with_given_sum,0.0040387,0.005821239,0.0132183,0.005821239,0
10000,prompt_3,"""Count pairs of elements in an array whose sum equals a given sum (but) do it in a single iteration(!) The implementation should be fast as the size of the list grows. The Python implementation should be in a function named ""funcImp"" that takes a single list of integers named ""arg1"" as a first argument and ""arg2"" as a second argument as a parameters..""",p4_count_pairs_with_given_sum,0.0527343,0.066308708,0.1057773,0.066308708,0
100000,prompt_3,"""Count pairs of elements in an array whose sum equals a given sum (but) do it in a single iteration(!) The implementation should be fast as the size of the list grows. The Python implementation should be in a function named ""funcImp"" that takes a single list of integers named ""arg1"" as a first argument and ""arg2"" as a second argument as a parameters..""",p4_count_pairs_with_given_sum,0.8272554,1.050633746,1.5489107,1.050633746,0
